date,window_start,window_end,ndvi_mean,ndvi_p10,ndvi_p90,n_obs,cloud_frac
2024-01-09,2024-01-01,2024-01-16,0.4295260698258497,0.18946675832258117,0.6581886574158843,7,0.0
2024-02-10,2024-02-02,2024-02-17,0.4939640602341954,0.1992144640660171,0.7616834934769895,6,0.0
2024-02-26,2024-02-18,2024-03-04,0.49881449416585016,0.2245994789093038,0.7636807203577824,7,0.0
2024-03-13,2024-03-05,2024-03-20,0.5361055319692825,0.23052680089370375,0.8085452833456246,6,0.0
2024-03-29,2024-03-21,2024-04-05,0.5518800097752325,0.2225901544026047,0.8242530294599849,7,0.0
2024-04-14,2024-04-06,2024-04-21,0.5410914986088285,0.2773334125114264,0.7304183531365794,6,0.0
2024-04-30,2024-04-22,2024-05-07,0.3765152311624739,0.22271614143767096,0.6288919829209028,6,0.8238397642364417
2024-05-16,2024-05-08,2024-05-23,0.42327708601962694,0.15238651386319388,0.7694501459752752,7,0.0
2024-06-01,2024-05-24,2024-06-08,0.4999496111643595,0.21672608990657632,0.7364570796401447,6,0.9384589304575743
2024-06-17,2024-06-09,2024-06-24,0.4751524724690192,0.33992507640779285,0.6289657791694458,7,0.5364142553496681
2024-07-03,2024-06-25,2024-07-10,0.5290537268381221,0.31645220680254127,0.7382524483116056,6,0.23587570253106782
2024-07-19,2024-07-11,2024-07-26,0.5854695770464261,0.3241849398248109,0.8242117807121467,6,0.004483158814401422
2024-08-04,2024-07-27,2024-08-11,0.6493931452696219,0.30086745743066157,0.8711173673612032,7,0.0
2024-08-20,2024-08-12,2024-08-27,0.6306213028143222,0.28513083840356296,0.839822072315834,6,0.0
2024-09-05,2024-08-28,2024-09-12,0.5889579540824005,0.2304884117324811,0.8241378922031797,7,0.0
2024-09-21,2024-09-13,2024-09-28,0.4839510646128542,0.24612383960614834,0.7460478668273043,6,0.0
2024-10-07,2024-09-29,2024-10-14,0.03887089580097901,0.021871390087263926,0.056506965841565816,6,0.9963487944501676
2024-10-23,2024-10-15,2024-10-30,0.4796071253233473,0.2071217044157474,0.7773278762133875,8,0.0
2024-11-08,2024-10-31,2024-11-15,0.5470122856569195,0.33878234028816223,0.7090539336204529,6,0.9983569575025754
2024-11-24,2024-11-16,2024-12-01,0.4553157131027327,0.22263723235528254,0.6757694049370155,7,0.0
2024-12-10,2024-12-02,2024-12-17,0.5064656772752232,0.22271699230640007,0.7226189619475716,8,0.0
2024-12-26,2024-12-18,2025-01-02,0.49915262610352196,0.19926686350720005,0.730470622257049,6,0.0
2025-01-11,2025-01-03,2025-01-18,0.4806831110766104,0.19139972580423825,0.7382043371076219,6,0.0
2025-01-27,2025-01-19,2025-02-03,0.49329853799391316,0.20702852676366168,0.7382767695595506,6,0.0
2025-02-12,2025-02-04,2025-02-19,0.597213944025968,0.25376486906719936,0.8163837493478291,7,0.5271036811975954
2025-03-16,2025-03-08,2025-03-23,0.485583463815684,0.24013696181616137,0.6739964140147136,7,0.9821299568375343
2025-04-01,2025-03-24,2025-04-08,0.5915186248998947,0.2382533237143848,0.8632551813613393,7,0.0
2025-04-17,2025-04-09,2025-04-24,0.5781652964607329,0.2226628776799919,0.8163390076115543,7,0.0
2025-05-03,2025-04-25,2025-05-10,0.5703444656969899,0.25782877049920544,0.8201043582978773,9,0.0
2025-05-19,2025-05-11,2025-05-26,0.4095464268711031,0.1367725115807817,0.7851951592231443,8,0.0
2025-06-04,2025-05-27,2025-06-11,0.40294839324324794,0.12896234003907558,0.7304261469207556,8,0.0
2025-06-20,2025-06-12,2025-06-27,0.42750679244368717,0.16015552772706543,0.730483010567766,7,0.0
2025-07-06,2025-06-28,2025-07-13,0.6401142101172821,0.30083938547756717,0.8554030767209784,7,0.0
2025-07-22,2025-07-14,2025-07-29,0.631773123857208,0.3008202958961734,0.8398123452255445,9,0.0
2025-08-07,2025-07-30,2025-08-14,0.6249831599432387,0.3008091710414031,0.8319865936892427,8,0.0
2025-08-23,2025-08-15,2025-08-30,0.5623535512661494,0.361373168094388,0.7402385071900309,8,0.6325035534054011
2025-09-08,2025-08-31,2025-09-15,0.5378663583776468,0.41997051664761137,0.6344884985532516,8,0.9900035208053516
2025-09-24,2025-09-16,2025-10-01,0.5597338532438463,0.2773063554867549,0.800769064112607,7,0.19146139502132042
